marca_original,marca_corregida,marca_key,es_sin_marca
Capistrano,Capistrano,CAPISTRANO,False
Caprice,Caprice,CAPRICE,False
Caprice Naturals,Caprice Naturals,CAPRICE NATURALS,False
Capullo,Capullo,CAPULLO,False
Carapelli. Oro Verde,Carapelli. Oro Verde,CARAPELLI. ORO VERDE,False
Carbonell,Carbonell,CARBONELL,False
Carbonell. Cocina,Carbonell. Cocina,CARBONELL. COCINA,False
Caricia,Caricia,CARICIA,False
Carisma,Carisma,CARISMA,False
Carlo Rossi,Carlo Rossi,CARLO ROSSI,False
Carlota,Carlota,CARLOTA,False
Carnation. Clavel,Carnation. Clavel,CARNATION. CLAVEL,False
Carnaval,Carnaval,CARNAVAL,False
Carneli,Carneli,CARNELI,False
Casero,Casero,CASERO,False
Casio,Casio,CASIO,False
Castillo del Rhin,Castillo del Rhin,CASTILLO DEL RHIN,False
Catarino's,Catarino's,CATARINO'S,False
Catarino?s,Catarino´s,CATARINO S,False
Catarino´s,Catarino´s,CATARINO S,False
Cazadores,Cazadores,CAZADORES,False
Cazerola,Cazerola,CAZEROLA,False
Celica,Celica,CELICA,False
Cereales Don Luis,Cereales Don Luis,CEREALES DON LUIS,False
Chantilly,Chantilly,CHANTILLY,False
Charly,Charly,CHARLY,False
Charly. Kids,Charly. Kids,CHARLY. KIDS,False
Charras. Original,Charras. Original,CHARRAS. ORIGINAL,False
Chateau Domecq,Chateau Domecq,CHATEAU DOMECQ,False
Chedraui,Chedraui,CHEDRAUI,False
Chefman,Chefman,CHEFMAN,False
Chefmarker,Chefmarker,CHEFMARKER,False
Chen,Chen,CHEN,False
Chicolastic. Classic,Chicolastic. Classic,CHICOLASTIC. CLASSIC,False
Chicolastic. Kiddies,Chicolastic. Kiddies,CHICOLASTIC. KIDDIES,False
Chilchota,Chilchota,CHILCHOTA,False
Chimex,Chimex,CHIMEX,False
Chipilo,Chipilo,CHIPILO,False
Choco Choco,Choco Choco,CHOCO CHOCO,False
Choco Krispis. Kellogg's,Choco Krispis. Kellogg's,CHOCO KRISPIS. KELLOGG'S,False
Choco Krispis. Kellogg?s,Choco Krispis. Kellogg´s,CHOCO KRISPIS. KELLOGG S,False
Choco Krispis. Kellogg´s,Choco Krispis. Kellogg´s,CHOCO KRISPIS. KELLOGG S,False
Choco Milk,Choco Milk,CHOCO MILK,False
Choicemmed,Choicemmed,CHOICEMMED,False
Ciel,Ciel,CIEL,False
Ciervo,Ciervo,CIERVO,False
Citizen,Citizen,CITIZEN,False
City Fresh,City Fresh,CITY FRESH,False
Clarasol,Clarasol,CLARASOL,False
Clemente Jacques,Clemente Jacques,CLEMENTE JACQUES,False
Clight,Clight,CLIGHT,False
Cloralex,Cloralex,CLORALEX,False
Clorox,Clorox,CLOROX,False
Clorox. Expert,Clorox. Expert,CLOROX. EXPERT,False
Coca Cola,Coca Cola,COCA COLA,False
Coca Cola. Light,Coca Cola. Light,COCA COLA. LIGHT,False
Coca Cola. Zero,Coca Cola. Zero,COCA COLA. ZERO,False
Cocoroco,Cocoroco,COCOROCO,False
Colgate,Colgate,COLGATE,False
Colgate. M?xima Protecci?n Anticaries,Colgate. Máxima Protección Anticaries,COLGATE. MAXIMA PROTECCION ANTICARIES,False
Colgate. Máxima Protección Anticaries,Colgate. Máxima Protección Anticaries,COLGATE. MAXIMA PROTECCION ANTICARIES,False
Colgate. Sensitive,Colgate. Sensitive,COLGATE. SENSITIVE,False
Colgate. Triple Acci?n,Colgate. Triple Acción,COLGATE. TRIPLE ACCION,False
Colgate. Triple Acción,Colgate. Triple Acción,COLGATE. TRIPLE ACCION,False
Colorcitos,Colorcitos,COLORCITOS,False
Concha y Toro,Concha y Toro,CONCHA Y TORO,False
Concha y Toro. Casillero del Diablo,Concha y Toro. Casillero del Diablo,CONCHA Y TORO. CASILLERO DEL DIABLO,False
Concha y Toro. Casillero del Diablo.,Concha y Toro. Casillero del Diablo.,CONCHA Y TORO. CASILLERO DEL DIABLO,False
Cono Sur,Cono Sur,CONO SUR,False
Contour Plus,Contour Plus,CONTOUR PLUS,False
Contour Plus. Elite,Contour Plus. Elite,CONTOUR PLUS. ELITE,False
Converse,Converse,CONVERSE,False
Corina,Corina,CORINA,False
Corn Flakes. Kellogg's,Corn Flakes. Kellogg's,CORN FLAKES. KELLOGG'S,False
Corn Flakes. Kellogg?s,Corn Flakes. Kellogg´s,CORN FLAKES. KELLOGG S,False
Corn Flakes. Kellogg´s,Corn Flakes. Kellogg´s,CORN FLAKES. KELLOGG S,False
Corn Flakes. Maizoro,Corn Flakes. Maizoro,CORN FLAKES. MAIZORO,False
Corn Flakes. Nestlé,Corn Flakes. Nestlé,CORN FLAKES. NESTLE,False
Corn Pops. Kellogg's,Corn Pops. Kellogg's,CORN POPS. KELLOGG'S,False
Corn Pops. Kellogg?s,Corn Pops. Kellogg´s,CORN POPS. KELLOGG S,False
Corn Pops. Kellogg´s,Corn Pops. Kellogg´s,CORN POPS. KELLOGG S,False
Corona,Corona,CORONA,False
Corona Extra,Corona Extra,CORONA EXTRA,False
Coronado,Coronado,CORONADO,False
Coronita Cero,Coronita Cero,CORONITA CERO,False
Cr?o,Crío,CRIO,False
Crayola,Crayola,CRAYOLA,False
Crayola. Alternative,Crayola. Alternative,CRAYOLA. ALTERNATIVE,False
Crayola. Plumoncitos,Crayola. Plumoncitos,CRAYOLA. PLUMONCITOS,False
Crayola. So Big!,Crayola. So Big!,CRAYOLA. SO BIG!,False
Crayola. Super Tips,Crayola. Super Tips,CRAYOLA. SUPER TIPS,False
Crayola. Toys,Crayola. Toys,CRAYOLA. TOYS,False
Crayola. Twistables,Crayola. Twistables,CRAYOLA. TWISTABLES,False
Creative Medical,Creative Medical,CREATIVE MEDICAL,False
Crest. Complete. 4 en 1,Crest. Complete. 4 en 1,CREST. COMPLETE. 4 EN 1,False
Cristal,Cristal,CRISTAL,False
Cruz Blanca,Cruz Blanca,CRUZ BLANCA,False
Crío,Crío,CRIO,False
Cualquier Marca,Cualquier Marca,CUALQUIER MARCA,False
Cuatro Soles,Cuatro Soles,CUATRO SOLES,False
Cune,Cune,CUNE,False
Curitas,Curitas,CURITAS,False
Cuétara,Cuétara,CUETARA,False
D'gari,D'gari,D'GARI,False
D'oro,D'oro,D'ORO,False
D'palu,D'palu,D'PALU,False
D?gari,D´gari,D GARI,False
D?héctor,D´héctor,D HECTOR,False
D?oro,D´oro,D ORO,False
D?palu,Dípalu,DIPALU,False
Daewoo,Daewoo,DAEWOO,False
Dalux,Dalux,DALUX,False
Danone,Danone,DANONE,False
Danone. Activia,Danone. Activia,DANONE. ACTIVIA,False
De la Fuente,De la Fuente,DE LA FUENTE,False
De la Olla,De la Olla,DE LA OLLA,False
De la Viuda,De la Viuda,DE LA VIUDA,False
Del Fuerte,Del Fuerte,DEL FUERTE,False
Del Monte,Del Monte,DEL MONTE,False
Del Valle,Del Valle,DEL VALLE,False
Del Valle. Frut,Del Valle. Frut,DEL VALLE. FRUT,False
Del Valle. Reserva,Del Valle. Reserva,DEL VALLE. RESERVA,False
Delaware Punch,Delaware Punch,DELAWARE PUNCH,False
Delicia,Delicia,DELICIA,False
Deliciosa,Deliciosa,DELICIOSA,False
Delsey. Max,Delsey. Max,DELSEY. MAX,False
Delta,Delta,DELTA,False
Delta. Del65,Delta. Del65,DELTA. DEL65,False
Diamante,Diamante,DIAMANTE,False
Diamcers,Diamcers,DIAMCERS,False
Dietrix,Dietrix,DIETRIX,False
Diluvio,Diluvio,DILUVIO,False
Diva Cup 1,Diva Cup 1,DIVA CUP 1,False
Diva Cup 2,Diva Cup 2,DIVA CUP 2,False
Dixon,Dixon,DIXON,False
Dixon. Blanca Nieves,Dixon. Blanca Nieves,DIXON. BLANCA NIEVES,False
Dixon. Mapita,Dixon. Mapita,DIXON. MAPITA,False
Dixon. Métrico,Dixon. Métrico,DIXON. METRICO,False
Dixon. Pastel,Dixon. Pastel,DIXON. PASTEL,False
Dixon. Siempre Juntas,Dixon. Siempre Juntas,DIXON. SIEMPRE JUNTAS,False
Dixon. Ticonderoga,Dixon. Ticonderoga,DIXON. TICONDEROGA,False
Dixon. Triconderoga. My First,Dixon. Triconderoga. My First,DIXON. TRICONDEROGA. MY FIRST,False
Dixon. Triconderoga. Stripe,Dixon. Triconderoga. Stripe,DIXON. TRICONDEROGA. STRIPE,False
Dody's,Dody's,DODY'S,False
Dody?s,Dody´s,DODY S,False
Dody´s,Dody´s,DODY S,False
Dolce Kristal,Dolce Kristal,DOLCE KRISTAL,False
Dolores,Dolores,DOLORES,False
Domino,Domino,DOMINO,False
Don Generozo,Don Generozo,DON GENEROZO,False
Don Zabor,Don Zabor,DON ZABOR,False
Dorado,Dorado,DORADO,False
Dos Equis Lager. Especial,Dos Equis Lager. Especial,DOS EQUIS LAGER. ESPECIAL,False
Dove,Dove,DOVE,False
Downy,Downy,DOWNY,False
Doña Jimena,Doña Jimena,DONA JIMENA,False
Doña Mar?a,Doña María,DONA MARIA,False
Doña María,Doña María,DONA MARIA,False
Dr. Pepper,Dr. Pepper,DR. PEPPER,False
Duby,Duby,DUBY,False
Duracell,Duracell,DURACELL,False
D´gari,D´gari,D GARI,False
D´héctor,D´héctor,D HECTOR,False
D´oro,D´oro,D ORO,False
Dátiles del Desierto,Dátiles del Desierto,DATILES DEL DESIERTO,False
Dípalu,Dípalu,DIPALU,False
Ecko,Ecko,ECKO,False
Eclipsol,Eclipsol,ECLIPSOL,False
Eficaz,Eficaz,EFICAZ,False
Ego Black,Ego Black,EGO BLACK,False
Ekco,Ekco,EKCO,False
Ekco. Classic,Ekco. Classic,EKCO. CLASSIC,False
El Almendro,El Almendro,EL ALMENDRO,False
El Calvario,El Calvario,EL CALVARIO,False
El Ciervo,El Ciervo,EL CIERVO,False
El Cl?sico de Morelos,El Clásico de Morelos,EL CLASICO DE MORELOS,False
El Clásico de Morelos,El Clásico de Morelos,EL CLASICO DE MORELOS,False
El Coto,El Coto,EL COTO,False
El Cuernito,El Cuernito,EL CUERNITO,False
El Dorado,El Dorado,EL DORADO,False
El Duende Frijol?n,El Duende Frijol?n,EL DUENDE FRIJOL?N,False
El Duende Frijolín,El Duende Frijolín,EL DUENDE FRIJOLIN,False
El Duende Frijolón,El Duende Frijolón,EL DUENDE FRIJOLON,False
El Faro,El Faro,EL FARO,False
El Fresno,El Fresno,EL FRESNO,False
El Jarro,El Jarro,EL JARRO,False
El Jimador,El Jimador,EL JIMADOR,False
El Labrador,El Labrador,EL LABRADOR,False
El Mayu,El Mayu,EL MAYU,False
El Milagro,El Milagro,EL MILAGRO,False
El Pomar,El Pomar,EL POMAR,False
El Serpis,El Serpis,EL SERPIS,False
El Yucateco,El Yucateco,EL YUCATECO,False
El Yuka,El Yuka,EL YUKA,False
Electrolit,Electrolit,ELECTROLIT,False
Elefante,Elefante,ELEFANTE,False
Elite. Cuidado Cl?sico,Elite. Cuidado Clásico,ELITE. CUIDADO CLASICO,False
Elite. Cuidado Clásico,Elite. Cuidado Clásico,ELITE. CUIDADO CLASICO,False
Elite. Duo,Elite. Duo,ELITE. DUO,False
Elite. M?xima Suavidad,Elite. Máxima Suavidad,ELITE. MAXIMA SUAVIDAD,False
Elite. Megaroll,Elite. Megaroll,ELITE. MEGAROLL,False
Elite. Máxima Suavidad,Elite. Máxima Suavidad,ELITE. MAXIMA SUAVIDAD,False
Elite. Premium Soft Xl,Elite. Premium Soft Xl,ELITE. PREMIUM SOFT XL,False
Elite. Ultra Absorbente,Elite. Ultra Absorbente,ELITE. ULTRA ABSORBENTE,False
Elite. Ultra Suave,Elite. Ultra Suave,ELITE. ULTRA SUAVE,False
Elmer?s. Disappearing Purple School Glue,Elmer´s. Disappearing Purple School Glue,ELMER S. DISAPPEARING PURPLE SCHOOL GLUE,False
Elmer?s. School Glue,Elmer´s. School Glue,ELMER S. SCHOOL GLUE,False
Elmer´s. Disappearing Purple School Glue,Elmer´s. Disappearing Purple School Glue,ELMER S. DISAPPEARING PURPLE SCHOOL GLUE,False
Elmer´s. School Glue,Elmer´s. School Glue,ELMER S. SCHOOL GLUE,False
Elvive,Elvive,ELVIVE,False
Energizer Max,Energizer Max,ENERGIZER MAX,False
Enerplex,Enerplex,ENERPLEX,False
Ensueño,Ensueño,ENSUENO,False
Ensure,Ensure,ENSURE,False
Epura,Epura,EPURA,False
Escosa,Escosa,ESCOSA,False
Escudo,Escudo,ESCUDO,False
Esmeralda,Esmeralda,ESMERALDA,False
Estrella,Estrella,ESTRELLA,False
Eugenia,Eugenia,EUGENIA,False
Eveready. Gold,Eveready. Gold,EVEREADY. GOLD,False
Evian,Evian,EVIAN,False
Extra Especial,Extra Especial,EXTRA ESPECIAL,False
F de M. Fotorama de México,F de M. Fotorama de México,F DE M. FOTORAMA DE MEXICO,False
Faber Castell,Faber Castell,FABER CASTELL,False
Faber Castell. Multicolor,Faber Castell. Multicolor,FABER CASTELL. MULTICOLOR,False
Fabuloso,Fabuloso,FABULOSO,False
Facia Bond. Copamex,Facia Bond. Copamex,FACIA BOND. COPAMEX,False
Factis. (Ov12),Factis. (Ov12),FACTIS. (OV12),False
Factis. (ov12),Factis. (ov12),FACTIS. (OV12),False
Factis. Softer,Factis. Softer,FACTIS. SOFTER,False
Factis. Softer S20,Factis. Softer S20,FACTIS. SOFTER S20,False
Factis. Tri 342,Factis. Tri 342,FACTIS. TRI 342,False
Family Guard,Family Guard,FAMILY GUARD,False
Famosa,Famosa,FAMOSA,False
Fancy,Fancy,FANCY,False
Fanta,Fanta,FANTA,False
Farmacom,Farmacom,FARMACOM,False
Federico Paternina,Federico Paternina,FEDERICO PATERNINA,False
Federico Paternina. Banda Azul,Federico Paternina. Banda Azul,FEDERICO PATERNINA. BANDA AZUL,False
Ferrero Rocher,Ferrero Rocher,FERRERO ROCHER,False
Ferrero. Collection,Ferrero. Collection,FERRERO. COLLECTION,False
Fifa. Num. 10,Fifa. Num. 10,FIFA. NUM. 10,False
Fifa. Ondulada Clipper,Fifa. Ondulada Clipper,FIFA. ONDULADA CLIPPER,False
Filippo Berio,Filippo Berio,FILIPPO BERIO,False
Finca las Moras,Finca las Moras,FINCA LAS MORAS,False
Fior Di Pasta,Fior Di Pasta,FIOR DI PASTA,False
Fiore,Fiore,FIORE,False
Fiser Price,Fiser Price,FISER PRICE,False
Fish & Fresh,Fish & Fresh,FISH & FRESH,False
Fish Co,Fish Co,FISH CO,False
Fisha Tuna,Fisha Tuna,FISHA TUNA,False
Fisher & Yonger,Fisher & Yonger,FISHER & YONGER,False
Fisher Price,Fisher Price,FISHER PRICE,False
Fisher-price,Fisher-price,FISHER-PRICE,False
Fitness. Nestlé,Fitness. Nestlé,FITNESS. NESTLE,False
Flama,Flama,FLAMA,False
Flash,Flash,FLASH,False
Flexi,Flexi,FLEXI,False
Floral. Rendi Plus +,Floral. Rendi Plus +,FLORAL. RENDI PLUS +,False
Florida 7,Florida 7,FLORIDA 7,False
Foca,Foca,FOCA,False
Folicuré,Folicuré,FOLICURE,False
Formación Cívica y Ética 3. Serie Travesías,Formación Cívica y Ética 3. Serie Travesías,FORMACION CIVICA Y ETICA 3. SERIE TRAVESIAS,False
Forti Plus,Forti Plus,FORTI PLUS,False
Franja,Franja,FRANJA,False
Free Style. Optium,Free Style. Optium,FREE STYLE. OPTIUM,False
French S Classic Yellow,French S Classic Yellow,FRENCH S CLASSIC YELLOW,False
Fresca,Fresca,FRESCA,False
Fresh Label,Fresh Label,FRESH LABEL,False
Fresh-co,Fresh-co,FRESH-CO,False
Froot Loops. Kellogg's,Froot Loops. Kellogg's,FROOT LOOPS. KELLOGG'S,False
Froot Loops. Kellogg?s,Froot Loops. Kellogg´s,FROOT LOOPS. KELLOGG S,False
Froot Loops. Kellogg´s,Froot Loops. Kellogg´s,FROOT LOOPS. KELLOGG S,False
Fud,Fud,FUD,False
Fujifilm,Fujifilm,FUJIFILM,False
Fujifilm. Fine Pix,Fujifilm. Fine Pix,FUJIFILM. FINE PIX,False
Fun Fruit,Fun Fruit,FUN FRUIT,False
Fuze Tea,Fuze Tea,FUZE TEA,False
G.e.,G.e.,G.E,False
Galicia,Galicia,GALICIA,False
Gallo Family,Gallo Family,GALLO FAMILY,False
Gamesa,Gamesa,GAMESA,False
Gamma,Gamma,GAMMA,False
Ganata,Ganata,GANATA,False
Garnier,Garnier,GARNIER,False
Garnier. Fructis,Garnier. Fructis,GARNIER. FRUCTIS,False
Garnier. Nutrisse. 40,Garnier. Nutrisse. 40,GARNIER. NUTRISSE. 40,False
