prioridad,tipo,columna,presentacion_key,valor,motivo,filas,en_alcance,ejemplo_producto,sugerencia_unidad,sugerencia_contenido
48,presentacion,presentacion,MS3032JAS. 1.05 PIES CUBICOS. COLOR NEGRO/ESPEJO,Ms3032jas. 1.05 Pies Cúbicos. Color Negro/espejo,sin_cantidad,13641,False,Horno de Microondas,,
49,presentacion,presentacion,STREAMING STICK 4K O 3820MX,Streaming Stick 4k o 3820mx,sin_cantidad,13410,False,Reproductores Streaming,,
50,presentacion,presentacion,EXPRESS 4K O ROK3940MX,Express 4k o Rok3940mx,sin_cantidad,12779,False,Reproductores Streaming,,
51,presentacion,presentacion,SM1000W,Sm1000w,sin_cantidad,12727,False,Sandwicheras,,
52,presentacion,presentacion,CM1408MX. CAPACIDAD 12 TAZAS,Cm1408mx. Capacidad 12 Tazas,sin_cantidad,12574,False,Cafeteras,,
53,presentacion,presentacion,TSSTTR500 O TSSTTR500-013,Tssttr500 o Tssttr500-013,sin_cantidad,12555,False,Tostadores de Pan,,
54,presentacion,presentacion,FPSTHM3532 O FPSTHM3532-013. MANUAL. 6 VELOCIDADES. SIN TAZON,Fpsthm3532 o Fpsthm3532-013. Manual. 6 Velocidades. Sin Tazón,sin_cantidad,12418,False,Batidoras,,
55,presentacion,presentacion,"WFR 3400 D00. 30 PLGS. 6 QUEMADORES, ENCENDIDO ELECTRONICO. COLOR ACERO","Wfr 3400 D00. 30 Plgs. 6 Quemadores, Encendido Electrónico. Color Acero",sin_cantidad,11910,False,Estufas,,
56,presentacion,presentacion,TSSTTV7030-1MX,Tssttv7030-1mx,sin_cantidad,11302,False,Horno Eléctrico,,
57,presentacion,presentacion,FPSTJU407B O FPSTJU407B-013. EXPRIMIDOR,Fpstju407b o Fpstju407b-013. Exprimidor,sin_cantidad,11021,False,Extractores de Jugos y Exprimidores,,
58,presentacion,presentacion,CAJA CON 2 CARTERAS. 4 TABLETAS C/U,Caja con 2 Carteras. 4 Tabletas C/u,conteo_por_unidad_de_empaque,10816,False,Xl-3,pieza,4.0
59,presentacion,presentacion,IR1920. VAPOR. SUELA CERAMIC GLIDE,Ir1920. Vapor. Suela Ceramic Glide,sin_cantidad,10792,False,Planchas,,
60,presentacion,presentacion,EMH 7602 JS0A. JS0B. JS0C. 30 PLGS. 6 QUEMADORES. ENCENCIDO ELECTRONICO. COLOR GRIS/ACERO,Emh 7602 Js0a. Js0b. Js0c. 30 Plgs. 6 Quemadores. Encencido Electrónico. Color Gris/acero,sin_cantidad,10760,False,Estufas,,
61,presentacion,presentacion,BLSTBPST O BLSTBPST-013. VELOCIDADES 1. BASE METAL. VASO VIDRIO. COLOR NEGRA,Blstbpst o Blstbpst-013. Velocidades 1. Base Metal. Vaso Vidrio. Color Negra,sin_cantidad,10465,False,Licuadoras,,
62,presentacion,presentacion,BLSTKAP-RPB O BLSTKAP-RPB-013. VELOCIDADES 2. BASE PLASTICO. VASO PLASTICO. COLOR ROJA,Blstkap-rpb o Blstkap-rpb-013. Velocidades 2. Base Plástico. Vaso Plástico. Color Roja,sin_cantidad,10450,False,Licuadoras,,
63,presentacion,presentacion,43 UR 7800 PSB. 43 PLGS. LED. PUERTO USB. SMART TV,43 Ur 7800 Psb. 43 Plgs. LED. Puerto USB. Smart TV.,sin_cantidad,10353,False,Pantallas,,
64,presentacion,presentacion,BVSTDC12 O BVSTDC12-013. CAPACIDAD 12 TAZAS,Bvstdc12 o Bvstdc12-013. Capacidad 12 Tazas,sin_cantidad,10330,False,Cafeteras,,
65,presentacion,presentacion,BLSTBESTE O BLSTBESTE-013. VELOCIDADES 1 + 1 PULSO. BASE METAL. VASO VIDRIO. COLOR METAL,Blstbeste o Blstbeste-013. Velocidades 1 + 1 Pulso. Base Metal. Vaso Vidrio. Color Metal,sin_cantidad,10303,False,Licuadoras,,
66,presentacion,presentacion,EM 7620 BAIS2A. 30 PLGS. 6 QUEMADORES. ENCENCIDO MANUAL. GRIS/ACERO,Em 7620 Bais2a. 30 Plgs. 6 Quemadores. Encencido Manual. Gris/acero,sin_cantidad,9979,False,Estufas,,
67,presentacion,presentacion,RNC7. USB Y BLUETOOTH. POTENCIA 1000 W (PMPO),Rnc7. USB y Bluetooth. Potencia 1000 W (pmpo),sin_cantidad,9954,False,Bocinas Portátiles,,
68,presentacion,presentacion,BLSTPEG-CPB O BLSTPEG-CPB-013. VELOCIDAD 6 + 1. BASE PLASTICO. VASO VIDRIO. COLOR ROJA,Blstpeg-cpb o Blstpeg-cpb-013. Velocidad 6 + 1. Base Plástico. Vaso Vidrio. Color Roja,sin_cantidad,9841,False,Licuadoras,,
69,presentacion,presentacion,ZE3708MX. EXTRACTOR,Ze3708mx. Extractor,sin_cantidad,9689,False,Extractores de Jugos y Exprimidores,,
70,presentacion,presentacion,CAJA CON TUBO CON 25 GR. 0.05 GR./1.00 GR./0.10 GR,Caja con Tubo con 25 Gr. 0.05 Gr./1.00 Gr./0.10 Gr.,cantidades_alternativas,9666,False,Betametasona/ Clotrimazol/ Gentamicina,kg,5e-05
71,presentacion,presentacion,FV2833 O FV2833XO. VAPOR. SUELA CERILIUM,Fv2833 o Fv2833xo. Vapor. Suela Cerilium,sin_cantidad,9650,False,Planchas,,
72,presentacion,presentacion,64650. PEDESTAL Y MANUAL. 6 VELOCIDADES. TAZON ACERO INOXIDABLE,64650. Pedestal y Manual. 6 Velocidades. Tazón Acero Inoxidable,sin_cantidad,9542,False,Batidoras,,
73,presentacion,presentacion,POLVO CON 400 GR. DE 49.70 G. SABOR NATURAL,Polvo con 400 Gr. de 49.70 G. Sabor Natural,multiples_cantidades,9501,False,Plantago Psyllium,kg,0.4
74,presentacion,presentacion,"HT-S100F. BLUETOOTH, USB. POTENCIA 120 W. SONIDO 2.1","Ht-s100f. Bluetooth, USB. Potencia 120 W. Sonido 2.1",sin_cantidad,9489,False,Barra de Sonido,,
75,presentacion,presentacion,CAJA CON FRASCO AMPULA CON POLVO Y AMPOLLETA CON DILUYENTE DE 4 ML. SOLUCION INYECTABLE 1 G. I.M,Caja con Frasco Ámpula con Polvo y Ampolleta con Diluyente de 4 Ml. Solución Inyectable 1 G. I.m,dimensiones_mixtas,9416,False,Cefotaxima,l,0.004
76,presentacion,presentacion,31193 O 31193 G,31193 o 31193 G,cantidades_alternativas,9353,False,Horno Eléctrico,kg,31.193
77,presentacion,presentacion,GCSTCS-412 O GCSTCS-412-013. VAPOR. SUELA CERAMICA,Gcstcs-412 o Gcstcs-412-013. Vapor. Suela Cerámica,sin_cantidad,9290,False,Planchas,,
78,presentacion,presentacion,RNC9. USB Y BLUETOOTH. POTENCIA 1800 W (PMPO),Rnc9. USB y Bluetooth. Potencia 1800 W (pmpo),sin_cantidad,9251,False,Bocinas Portátiles,,
79,presentacion,presentacion,YCA-1300. POTENCIA 1300 WATTS,Yca-1300. Potencia 1300 Watts,sin_cantidad,9238,False,Aspiradoras,,
80,presentacion,presentacion,PS5. RETURNAL-RATCHET & CLANK. CFI-2015. 1 TB. RETURNAL- RATCHET & CLANK. INCLUYE LECTOR DE DISCO,Ps5. Returnal-ratchet & Clank. Cfi-2015. 1 TB. Returnal- Ratchet & Clank. Incluye Lector de Disco,sin_cantidad,9204,False,Electrónicos de Video,,
81,presentacion,presentacion,GALAXY TAB A9. SM-X110. 8.7 PLGS. MEMORIA INTERNA 64 GB. MEMORIA RAM 4 GB,Galaxy Tab A9. Sm-x110. 8.7 Plgs. Memoria Interna 64 GB. Memoria RAM 4 GB.,sin_cantidad,9132,False,Tablet,,
82,presentacion,presentacion,ZP520DMX. EXPRIMIDOR,Zp520dmx. Exprimidor,sin_cantidad,9110,False,Extractores de Jugos y Exprimidores,,
83,presentacion,presentacion,GCSTBS5051 O GCSTBS5051-013. VAPOR . SUELA CERAMICA,Gcstbs5051 o Gcstbs5051-013. Vapor . Suela Cerámica,sin_cantidad,9100,False,Planchas,,
84,presentacion,presentacion,SWITCH OLED. WHITE. MARIO KART 8. 64 GB. MARIO KART 8 (DESCARGA),Switch OLED. White. Mario Kart 8. 64 GB. Mario Kart 8 (descarga),sin_cantidad,9055,False,Electrónicos de Video,,
85,presentacion,presentacion,FRASCO CON 120 ML. Y VASO DOSIFICADOR DE 20 ML. SUSPENSION 2 G./100 ML,Frasco con 120 Ml. y Vaso Dosificador de 20 Ml. Suspensión 2 G./100 Ml.,cantidades_alternativas,9052,False,Ibuprofeno,l,0.002
86,presentacion,presentacion,BLSTPEG-BPB O BLSTPEG-BPB-013. VELOCIDAD 6 + 1. BASE PLASTICO. VASO VIDRIO. COLOR NEGRA,Blstpeg-bpb o Blstpeg-bpb-013. Velocidad 6 + 1. Base Plástico. Vaso Vidrio. Color Negra,sin_cantidad,9018,False,Licuadoras,,
87,presentacion,presentacion,SWITCH. LITE. 32 GB. SIN JUEGO INCLUIDO,Switch. Lite. 32 GB. Sin Juego Incluido,sin_cantidad,8940,False,Electrónicos de Video,,
88,presentacion,presentacion,CM1110B-LA. CAPACIDAD 12 TAZAS,Cm1110b-la. Capacidad 12 Tazas,sin_cantidad,8776,False,Cafeteras,,
89,presentacion,presentacion,"VT 40 WP (SILVER). 395 DM3. 2 PUERTAS, HORIZONTAL Y VERTICAL. DESHIELO AUTOMATICO AJUSTABLE","Vt 40 Wp (silver). 395 Dm3. 2 Puertas, Horizontal y Vertical. Deshielo Automático Ajustable",sin_cantidad,8730,False,Refrigeradores,,
90,presentacion,presentacion,55 UR 7800 PSB. 55 PLGS. LED. PUERTO USB. SMART TV,55 Ur 7800 Psb. 55 Plgs. LED. Puerto USB. Smart TV.,sin_cantidad,8728,False,Pantallas,,
91,presentacion,presentacion,BLSTKAP-WPB O BLSTKAP-WPB-013. VELOCIDADES 2 + 1 PULSO. BASE PLASTICO. VASO VIDRIO. COLOR BLANCA,Blstkap-wpb o Blstkap-wpb-013. Velocidades 2 + 1 Pulso. Base Plástico. Vaso Vidrio. Color Blanca,sin_cantidad,8728,False,Licuadoras,,
92,presentacion,presentacion,LN328DMX. VELOCIDADES 8. BASE ACERO INOXIDABLE. VASO VIDRIO. COLOR ACERO INOXIDABLE,Ln328dmx. Velocidades 8. Base Acero Inoxidable. Vaso Vidrio. Color Acero Inoxidable,sin_cantidad,8724,False,Licuadoras,,
93,presentacion,presentacion,GCSTAC6901 O GCSTAC6901-013. VAPOR. SUELA AEROCERAMICA,Gcstac6901 o Gcstac6901-013. Vapor. Suela AeroCerámica,sin_cantidad,8546,False,Planchas,,
94,presentacion,presentacion,TT1A18MX,Tt1a18mx,sin_cantidad,8521,False,Tostadores de Pan,,
95,presentacion,presentacion,RR 63D6 WGX (SILVER). 173 DM3. 1 PUERTAVERTICAL. DESHIELO SEMIAUTOMATICO,Rr 63d6 Wgx (silver). 173 Dm3. 1 Puertavertical. Deshielo SemiAutomático,sin_cantidad,8483,False,Refrigeradores,,
96,presentacion,presentacion,CAJA CON 3 AMPOLLETAS NO. 1 DE 1 ML. Y 3 AMPOLLETAS NO. 2 DE 2 ML . SOLUCION INYECTABLE DE 75 MG./100 MG./1 MG,Caja con 3 Ampolletas No. 1 de 1 Ml. y 3 Ampolletas No. 2 de 2 Ml . Solución Inyectable de 75 Mg./100 Mg./1 Mg.,multiples_cantidades,8459,False,"Diclofenaco. Vitaminas B1, B6 y B13",l,0.001
97,presentacion,presentacion,CAJA CON TUBO CON 15 GR. 1% 1GR./10 MG,Caja con Tubo con 15 Gr. 1% 1gr./10 Mg.,multiples_cantidades,8451,False,Terbinafina,kg,0.015
98,presentacion,presentacion,50 UR 7800 PSB. 50 PLGS. LED. PUERTO USB. SMART TV,50 Ur 7800 Psb. 50 Plgs. LED. Puerto USB. Smart TV.,sin_cantidad,8398,False,Pantallas,,
99,presentacion,presentacion,SWITCH. NEON. MARIO KART 8. 32 GB. MARIO KART 8 (DESCARGA),Switch. Neon. Mario Kart 8. 32 GB. Mario Kart 8 (descarga),sin_cantidad,8181,False,Electrónicos de Video,,
100,presentacion,presentacion,TT330DMX,Tt330dmx,sin_cantidad,8169,False,Tostadores de Pan,,
101,presentacion,presentacion,FV6811 O FV6811XO. VAPOR. SUELA DURILIUM AIRGLIDE,Fv6811 o Fv6811xo. Vapor. Suela Durilium Airglide,sin_cantidad,8116,False,Planchas,,
102,presentacion,presentacion,BVSTDC4403 O BVSTDC4403-013. CAPACIDAD 12 TAZAS,Bvstdc4403 o Bvstdc4403-013. Capacidad 12 Tazas,sin_cantidad,7984,False,Cafeteras,,
103,presentacion,presentacion,STANDARD O ESTANDAR. EXTRACTOR,Standard o Estándar. Extractor,sin_cantidad,7979,False,Extractores de Jugos y Exprimidores,,
104,presentacion,presentacion,AW 5300 D01. 20 PLGS. 4 QUEMADORES. ENCENDIDO MANUAL. COLOR GRIS/ACERO,Aw 5300 D01. 20 Plgs. 4 Quemadores. Encendido Manual. Color Gris/acero,sin_cantidad,7947,False,Estufas,,
105,presentacion,presentacion,CAJA 12 CERAS. JUMBO. C.B. 201423,Caja 12 Ceras. Jumbo. C.b. 201423,sin_cantidad,7921,False,Crayones,,
106,presentacion,presentacion,ECHO POP. COLOR BLANCA O NEGRA,Echo Pop. Color Blanca o Negra,sin_cantidad,7911,False,Asistentes de Voz,,
107,presentacion,presentacion,65 UR 7800 PSB. 65 PLGS. LED. PUERTO USB. SMART TV,65 Ur 7800 Psb. 65 Plgs. LED. Puerto USB. Smart TV.,sin_cantidad,7894,False,Pantallas,,
108,presentacion,presentacion,CKSTSM2885 O CKSTSM2885-013,Ckstsm2885 o Ckstsm2885-013,sin_cantidad,7826,False,Sandwicheras,,
109,presentacion,presentacion,LN8248NX. VELOCIDADES 14. BASE PLASTICO. VASO VIDRIO. COLOR NEGRA,Ln8248nx. Velocidades 14. Base Plástico. Vaso Vidrio. Color Negra,sin_cantidad,7776,False,Licuadoras,,
110,presentacion,presentacion,CAJA CON TUBO CON 40 GR. 0.05 GR./1.00 GR./0.10 GR,Caja con Tubo con 40 Gr. 0.05 Gr./1.00 Gr./0.10 Gr.,cantidades_alternativas,7750,False,Betametasona/ Clotrimazol/ Gentamicina,kg,5e-05
111,presentacion,presentacion,CJ650 O CJ650W (BLANCO). EXPRIMIDOR,Cj650 o Cj650w (blanco). Exprimidor,sin_cantidad,7709,False,Extractores de Jugos y Exprimidores,,
112,presentacion,presentacion,ZE420DMX. EXTRACTOR,Ze420dmx. Extractor,sin_cantidad,7706,False,Extractores de Jugos y Exprimidores,,
113,presentacion,presentacion,XL5S. USB Y BLUETOOTH. POTENCIA 200 W RMS,Xl5s. USB y Bluetooth. Potencia 200 W Rms,sin_cantidad,7653,False,Bocinas Portátiles,,
114,presentacion,presentacion,CAJA 24 CERAS. ESTANDAR. C.B. 201058,Caja 24 Ceras. Estándar. C.b. 201058,sin_cantidad,7585,False,Crayones,,
115,presentacion,presentacion,BL1000BG. VELOCIDADES 10 + 1 PULSO. BASE PLASTICO. VASO VIDRIO. COLOR NEGRA,Bl1000bg. Velocidades 10 + 1 Pulso. Base Plástico. Vaso Vidrio. Color Negra,sin_cantidad,7561,False,Licuadoras,,
116,presentacion,presentacion,FV2860 O FV2860X0. VAPOR. SUELA CERILIUM,Fv2860 o Fv2860x0. Vapor. Suela Cerilium,sin_cantidad,7476,False,Planchas,,
117,presentacion,presentacion,GCSTBS6051 O GCSTBS6051-013. VAPOR . SUELA CERAMICA,Gcstbs6051 o Gcstbs6051-013. Vapor . Suela Cerámica,sin_cantidad,7451,False,Planchas,,
118,presentacion,presentacion,CM0915BK-LA. CAPACIDAD 12 TAZAS,Cm0915bk-la. Capacidad 12 Tazas,sin_cantidad,7440,False,Cafeteras,,
119,presentacion,presentacion,CAJA 12 CERAS. ESTANDAR. C.B. 201034,Caja 12 Ceras. Estándar. C.b. 201034,sin_cantidad,7402,False,Crayones,,
120,presentacion,presentacion,EXPRESS O 3930X,Express o 3930x,sin_cantidad,7308,False,Reproductores Streaming,,
121,presentacion,presentacion,WM 1807 D. 0.7 PIES CUBICOS. COLOR GRIS,Wm 1807 D. 0.7 Pies Cúbicos. Color Gris,sin_cantidad,7296,False,Horno de Microondas,,
122,presentacion,presentacion,MS2032GAS. 0.7 PIES CUBICOS. COLOR NEGRO,Ms2032gas. 0.7 Pies Cúbicos. Color Negro,sin_cantidad,7271,False,Horno de Microondas,,
123,presentacion,presentacion,INSTAX MINI 12. LENTE ZOOM 60 MM (FIJO),Instax Mini 12. Lente Zoom 60 Mm (fijo),sin_cantidad,7236,False,Cámaras Digitales,,
124,presentacion,presentacion,UN 50DU7000F. 50 PLGS. CRYSTAL. PUERTO USB. SMART TV,Un 50du7000f. 50 Plgs. Crystal. Puerto USB. Smart TV.,sin_cantidad,7235,False,Pantallas,,
125,presentacion,presentacion,PS5. RETURNAL-RATCHET & CLANK. DIGITAL. CFI-2015. 1 TB. RETURNAL- RATCHET & CLANK (DESCARGA),Ps5. Returnal-ratchet & Clank. Digital. Cfi-2015. 1 TB. Returnal- Ratchet & Clank (descarga).,sin_cantidad,7202,False,Electrónicos de Video,,
126,presentacion,presentacion,BVSTDC10SS O BVSTDC10SS-013. CAPACIDAD 8 TAZAS,Bvstdc10ss o Bvstdc10ss-013. Capacidad 8 Tazas,sin_cantidad,7194,False,Cafeteras,,
127,presentacion,presentacion,"GT 24 BS (SILVER). 2 PUERTAS, 1 VERTICAL Y 1 HORIZONTAL. DESHIELO AUTOMATICO AJUSTABLE","Gt 24 Bs (silver). 2 Puertas, 1 Vertical y 1 Horizontal. Deshielo Automático Ajustable",sin_cantidad,7190,False,Refrigeradores,,
128,presentacion,presentacion,ECHO SHOW 5. COLOR BLANCA O NEGRA,Echo Show 5. Color Blanca o Negra,sin_cantidad,7169,False,Asistentes de Voz,,
